Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,tissue
SRR17893952,27 days,WGS,299,1369918916,PRJNA803765,SAMN25686907,Plant,515138044,WUHAN UNIVERSITY,public,japonica,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14052884,China,Asia,China:Wuhan,Illumina HiSeq 2500,R16,R16,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R16,SRP358511,blade
SRR17893953,27 days,WGS,299,1452522876,PRJNA803765,SAMN25686906,Plant,538453696,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14052883,China,Asia,China:Wuhan,Illumina HiSeq 2500,R169,R169,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R169,SRP358511,blade
SRR17893954,27 days,WGS,299,1302623068,PRJNA803765,SAMN25686905,Plant,488112719,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14052882,China,Asia,China:Wuhan,Illumina HiSeq 2500,R168,R168,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R168,SRP358511,blade
SRR17893955,27 days,WGS,299,1415941282,PRJNA803765,SAMN25686904,Plant,552295711,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",vegetative phase,not applicable,SRX14052881,China,Asia,China:Wuhan,Illumina HiSeq 2500,R167,R167,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R167,SRP358511,blade
SRR17893956,27 days,WGS,299,1319620894,PRJNA803765,SAMN25686903,Plant,484919196,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14052880,China,Asia,China:Wuhan,Illumina HiSeq 2500,R166,R166,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R166,SRP358511,blade
SRR17893957,27 days,WGS,299,1307064476,PRJNA803765,SAMN25686902,Plant,480852189,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14052879,China,Asia,China:Wuhan,Illumina HiSeq 2500,R165,R165,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R165,SRP358511,blade
SRR17893958,27 days,WGS,299,1246183668,PRJNA803765,SAMN25686830,Plant,457513707,WUHAN UNIVERSITY,public,japonica,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14052878,China,Asia,China:Wuhan,Illumina HiSeq 2500,R09,R09,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R09,SRP358511,blade
SRR17893959,27 days,WGS,299,1222019616,PRJNA803765,SAMN25686901,Plant,448971100,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053149,China,Asia,China:Wuhan,Illumina HiSeq 2500,R164,R164,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R164,SRP358511,blade
SRR17893960,27 days,WGS,299,1295452280,PRJNA803765,SAMN25686900,Plant,477433695,WUHAN UNIVERSITY,public,japonica,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14053148,China,Asia,China:Wuhan,Illumina HiSeq 2500,R163,R163,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R163,SRP358511,blade
SRR17893961,27 days,WGS,299,1289105954,PRJNA803765,SAMN25686899,Plant,473448545,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14053147,China,Asia,China:Wuhan,Illumina HiSeq 2500,R162,R162,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R162,SRP358511,blade
SRR17893962,27 days,WGS,299,1297287196,PRJNA803765,SAMN25686898,Plant,487905194,WUHAN UNIVERSITY,public,japonica,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",vegetative phase,not applicable,SRX14053146,China,Asia,China:Wuhan,Illumina HiSeq 2500,R161,R161,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R161,SRP358511,blade
SRR17893963,27 days,WGS,299,3597649340,PRJNA803765,SAMN25686897,Plant,1491684700,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053145,China,Asia,China:Wuhan,Illumina HiSeq 2500,R160,R160,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R160,SRP358511,blade
SRR17893964,27 days,WGS,299,1488517234,PRJNA803765,SAMN25686896,Plant,531106182,WUHAN UNIVERSITY,public,japonica,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053144,China,Asia,China:Wuhan,Illumina HiSeq 2500,R15,R15,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R15,SRP358511,blade
SRR17893965,27 days,WGS,299,1108359140,PRJNA803765,SAMN25686895,Plant,408656458,WUHAN UNIVERSITY,public,japonica,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053143,China,Asia,China:Wuhan,Illumina HiSeq 2500,R159,R159,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R159,SRP358511,blade
SRR17893966,27 days,WGS,299,1378310738,PRJNA803765,SAMN25687073,Plant,528672017,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053142,China,Asia,China:Wuhan,Illumina HiSeq 2500,R79,R79,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R79,SRP358511,blade
SRR17893967,27 days,WGS,299,1557040982,PRJNA803765,SAMN25687072,Plant,597168958,WUHAN UNIVERSITY,public,japonica,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14053141,China,Asia,China:Wuhan,Illumina HiSeq 2500,R78,R78,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R78,SRP358511,blade
SRR17893968,27 days,WGS,299,1490071096,PRJNA803765,SAMN25686847,Plant,570491808,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053140,China,Asia,China:Wuhan,Illumina HiSeq 2500,R115,R115,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R115,SRP358511,blade
SRR17893969,27 days,WGS,299,1503926154,PRJNA803765,SAMN25687071,Plant,573679854,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053139,China,Asia,China:Wuhan,Illumina HiSeq 2500,R77,R77,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R77,SRP358511,blade
SRR17893970,27 days,WGS,299,1460985736,PRJNA803765,SAMN25687070,Plant,561640514,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",vegetative phase,not applicable,SRX14053138,China,Asia,China:Wuhan,Illumina HiSeq 2500,R76,R76,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R76,SRP358511,blade
SRR17893971,27 days,WGS,299,1524600536,PRJNA803765,SAMN25687069,Plant,578641874,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14053137,China,Asia,China:Wuhan,Illumina HiSeq 2500,R75,R75,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R75,SRP358511,blade
SRR17893972,27 days,WGS,299,1624428486,PRJNA803765,SAMN25687068,Plant,624023255,WUHAN UNIVERSITY,public,japonica,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14053136,China,Asia,China:Wuhan,Illumina HiSeq 2500,R74,R74,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R74,SRP358511,blade
SRR17893973,27 days,WGS,299,1467899380,PRJNA803765,SAMN25687067,Plant,562482236,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053135,China,Asia,China:Wuhan,Illumina HiSeq 2500,R73,R73,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R73,SRP358511,blade
SRR17893974,27 days,WGS,299,1329384558,PRJNA803765,SAMN25687066,Plant,507680592,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053134,China,Asia,China:Wuhan,Illumina HiSeq 2500,R72,R72,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R72,SRP358511,blade
SRR17893975,27 days,WGS,299,1537575562,PRJNA803765,SAMN25687065,Plant,584763117,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",vegetative phase,not applicable,SRX14053133,China,Asia,China:Wuhan,Illumina HiSeq 2500,R71,R71,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R71,SRP358511,blade
SRR17893976,27 days,WGS,299,1535770274,PRJNA803765,SAMN25687064,Plant,584789820,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14053132,China,Asia,China:Wuhan,Illumina HiSeq 2500,R70,R70,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R70,SRP358511,blade
SRR17893977,27 days,WGS,299,1592616314,PRJNA803765,SAMN25687063,Plant,606645872,WUHAN UNIVERSITY,public,japonica,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",vegetative phase,not applicable,SRX14053131,China,Asia,China:Wuhan,Illumina HiSeq 2500,R69,R69,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R69,SRP358511,blade
SRR17893978,27 days,WGS,299,1435990816,PRJNA803765,SAMN25687062,Plant,543020644,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053130,China,Asia,China:Wuhan,Illumina HiSeq 2500,R68,R68,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R68,SRP358511,blade
SRR17893979,27 days,WGS,299,1243111936,PRJNA803765,SAMN25686846,Plant,472528162,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14053129,China,Asia,China:Wuhan,Illumina HiSeq 2500,R114,R114,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R114,SRP358511,blade
SRR17893980,27 days,WGS,299,1435279450,PRJNA803765,SAMN25687061,Plant,547186620,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14053128,China,Asia,China:Wuhan,Illumina HiSeq 2500,R67,R67,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R67,SRP358511,blade
SRR17893981,27 days,WGS,299,1363986342,PRJNA803765,SAMN25687060,Plant,512573078,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14053127,China,Asia,China:Wuhan,Illumina HiSeq 2500,R66,R66,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R66,SRP358511,blade
SRR17893982,27 days,WGS,299,1580704602,PRJNA803765,SAMN25687059,Plant,602723845,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053126,China,Asia,China:Wuhan,Illumina HiSeq 2500,R65,R65,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R65,SRP358511,blade
SRR17893983,27 days,WGS,299,1448706636,PRJNA803765,SAMN25687058,Plant,551372912,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14053125,China,Asia,China:Wuhan,Illumina HiSeq 2500,R64,R64,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R64,SRP358511,blade
SRR17893984,27 days,WGS,299,1401793698,PRJNA803765,SAMN25687057,Plant,531468483,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",vegetative phase,not applicable,SRX14053124,China,Asia,China:Wuhan,Illumina HiSeq 2500,R63,R63,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R63,SRP358511,blade
SRR17893985,27 days,WGS,299,1324932482,PRJNA803765,SAMN25687056,Plant,495721239,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14053123,China,Asia,China:Wuhan,Illumina HiSeq 2500,R62,R62,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R62,SRP358511,blade
SRR17893986,27 days,WGS,299,1470081806,PRJNA803765,SAMN25687055,Plant,554428187,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",vegetative phase,not applicable,SRX14053122,China,Asia,China:Wuhan,Illumina HiSeq 2500,R61,R61,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R61,SRP358511,blade
SRR17893987,27 days,WGS,299,1500370480,PRJNA803765,SAMN25687054,Plant,596922566,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053121,China,Asia,China:Wuhan,Illumina HiSeq 2500,R60,R60,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R60,SRP358511,blade
SRR17893988,27 days,WGS,299,1574208130,PRJNA803765,SAMN25687053,Plant,598832483,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053120,China,Asia,China:Wuhan,Illumina HiSeq 2500,R59,R59,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R59,SRP358511,blade
SRR17893989,27 days,WGS,299,1614077166,PRJNA803765,SAMN25687052,Plant,608939796,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053119,China,Asia,China:Wuhan,Illumina HiSeq 2500,R58,R58,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R58,SRP358511,blade
SRR17893990,27 days,WGS,299,1535461812,PRJNA803765,SAMN25686987,Plant,587147946,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14053118,China,Asia,China:Wuhan,Illumina HiSeq 2500,R242,R242,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R242,SRP358511,blade
SRR17893991,27 days,WGS,299,1563175302,PRJNA803765,SAMN25686986,Plant,593840113,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14053117,China,Asia,China:Wuhan,Illumina HiSeq 2500,R241,R241,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R241,SRP358511,blade
SRR17893992,27 days,WGS,299,1398712116,PRJNA803765,SAMN25686985,Plant,526207900,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053116,China,Asia,China:Wuhan,Illumina HiSeq 2500,R240,R240,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R240,SRP358511,blade
SRR17893993,27 days,WGS,299,1735628588,PRJNA803765,SAMN25686984,Plant,618753468,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14053115,China,Asia,China:Wuhan,Illumina HiSeq 2500,R23,R23,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R23,SRP358511,blade
SRR17893994,27 days,WGS,299,1588932276,PRJNA803765,SAMN25686983,Plant,602979136,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14053114,China,Asia,China:Wuhan,Illumina HiSeq 2500,R239,R239,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R239,SRP358511,blade
SRR17893995,27 days,WGS,299,1159535394,PRJNA803765,SAMN25686982,Plant,435339578,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",vegetative phase,not applicable,SRX14053113,China,Asia,China:Wuhan,Illumina HiSeq 2500,R238,R238,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R238,SRP358511,blade
SRR17893996,27 days,WGS,299,1294292644,PRJNA803765,SAMN25686838,Plant,492741606,WUHAN UNIVERSITY,public,japonica,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053112,China,Asia,China:Wuhan,Illumina HiSeq 2500,R107,R107,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R107,SRP358511,blade
SRR17893997,27 days,WGS,299,1097278308,PRJNA803765,SAMN25686981,Plant,401229335,WUHAN UNIVERSITY,public,japonica,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",vegetative phase,not applicable,SRX14053111,China,Asia,China:Wuhan,Illumina HiSeq 2500,R237,R237,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R237,SRP358511,blade
SRR17893998,27 days,WGS,299,1152535414,PRJNA803765,SAMN25686980,Plant,425088468,WUHAN UNIVERSITY,public,japonica,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053110,China,Asia,China:Wuhan,Illumina HiSeq 2500,R236,R236,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R236,SRP358511,blade
SRR17893999,27 days,WGS,299,1172137750,PRJNA803765,SAMN25686979,Plant,431413090,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",vegetative phase,not applicable,SRX14053109,China,Asia,China:Wuhan,Illumina HiSeq 2500,R235,R235,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R235,SRP358511,blade
SRR17894000,27 days,WGS,299,1388551950,PRJNA803765,SAMN25686978,Plant,543255410,WUHAN UNIVERSITY,public,japonica,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",vegetative phase,not applicable,SRX14053108,China,Asia,China:Wuhan,Illumina HiSeq 2500,R234,R234,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R234,SRP358511,blade
SRR17894001,27 days,WGS,299,1664052894,PRJNA803765,SAMN25686977,Plant,628694218,WUHAN UNIVERSITY,public,japonica,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",vegetative phase,not applicable,SRX14053107,China,Asia,China:Wuhan,Illumina HiSeq 2500,R233,R233,PAIRED,RANDOM,GENOMIC,Oryza sativa Japonica Group,ILLUMINA,2022-02-05T00:00:00Z,R233,SRP358511,blade
